year,reporter,reporter_code,partner,partner_code,flow,flow_code,hs_code,commodity,trade_value_usd,net_weight_kg
2018,China,156,USA,842,Import,M,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",9848380028.0,320580.012
2018,China,156,USA,842,Import,M,854232,Electronic integrated circuits; memories,717366330.0,67885.0
2018,China,156,USA,842,Import,M,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,995515642.0,142502.0
2018,China,156,USA,842,Export,X,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",679155188.0,634709.0
2018,China,156,USA,842,Export,X,854232,Electronic integrated circuits; memories,600954845.0,79592.005
2018,China,156,USA,842,Export,X,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,102909895.0,166348.0
2019,China,156,USA,842,Import,M,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",11426941537.0,333853.2
2019,China,156,USA,842,Import,M,854232,Electronic integrated circuits; memories,341599389.0,39018.0
2019,China,156,USA,842,Import,M,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,1340770099.0,137870.493
2019,China,156,USA,842,Export,X,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",645649515.0,521365.489
2019,China,156,USA,842,Export,X,854232,Electronic integrated circuits; memories,206370335.0,29318.0
2019,China,156,USA,842,Export,X,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,75355683.0,128426.323
2020,China,156,USA,842,Import,M,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",11811372732.0,322683.009
2020,China,156,USA,842,Import,M,854232,Electronic integrated circuits; memories,270757655.0,38138.0
2020,China,156,USA,842,Import,M,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,1600072072.0,153964.256
2020,China,156,USA,842,Export,X,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",585175054.0,531472.248
2020,China,156,USA,842,Export,X,854232,Electronic integrated circuits; memories,182901922.0,20300.73
2020,China,156,USA,842,Export,X,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,170386623.0,121940.188
2021,China,156,USA,842,Import,M,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",12765812068.0,330841.284
2021,China,156,USA,842,Import,M,854232,Electronic integrated circuits; memories,449590414.0,40932.0
2021,China,156,USA,842,Import,M,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,1884572160.0,183085.0
2021,China,156,USA,842,Export,X,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",863801790.0,652470.188
2021,China,156,USA,842,Export,X,854232,Electronic integrated circuits; memories,289772487.0,44293.17
2021,China,156,USA,842,Export,X,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,254447224.0,161598.779
2022,China,156,USA,842,Import,M,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",9246111096.0,290326.0
2022,China,156,USA,842,Import,M,854232,Electronic integrated circuits; memories,409997478.0,35226.0
2022,China,156,USA,842,Import,M,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,1923039163.0,181839.202
2022,China,156,USA,842,Export,X,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",1297397753.0,833805.371
2022,China,156,USA,842,Export,X,854232,Electronic integrated circuits; memories,419051951.0,72078.105
2022,China,156,USA,842,Export,X,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,495977600.0,267941.314
2023,China,156,USA,842,Import,M,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",5392046729.0,180727.261
2023,China,156,USA,842,Import,M,854232,Electronic integrated circuits; memories,524997220.0,36778.0
2023,China,156,USA,842,Import,M,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,1836153393.0,179213.0
