year,reporter,reporter_code,partner,partner_code,flow,flow_code,hs_code,commodity,trade_value_usd,net_weight_kg,lag_trade_1y,yoy_growth_pct,rolling_avg_3y,volatility_index,total_imports,supplier_dependency_ratio,sudden_drop_flag,future_trade_value_usd
2019,China,156,Germany,276,Export,X,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",430472888.0,381167.0,406279543.0,5.954851878919239,418376215.5,17107278.309085652,30709077804.0,0.01401777320528749,0,470135833.0
2020,China,156,Germany,276,Export,X,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",470135833.0,437967.353,430472888.0,9.213807908850232,435629421.3333333,32238933.297402363,32415340029.0,0.01450349842325882,0,605637510.0
2021,China,156,Germany,276,Export,X,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",605637510.0,586254.0,470135833.0,28.82181435423579,502082077.0,91848152.29160233,41994486455.0,0.014421833938819148,0,815578081.0
2022,China,156,Germany,276,Export,X,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",815578081.0,683406.339,605637510.0,34.66439372290531,630450474.6666666,174052719.2763311,43600481647.0,0.01870571264792707,0,1154172656.0
2023,China,156,Germany,276,Export,X,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",1154172656.0,868952.0,815578081.0,41.51589932196817,858462749.0,276770704.12421364,35858192530.0,0.03218713980171716,0,987046887.0
2019,China,156,Germany,276,Import,M,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",780784909.0,227302.0,938221921.0,-16.780359579767268,859503415.0,111324778.79494786,30709077804.0,0.02542521511011637,0,572998422.0
2020,China,156,Germany,276,Import,M,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",572998422.0,181977.0,780784909.0,-26.612513203684372,764001750.6666666,183189265.12812385,32415340029.0,0.017676767280163458,1,756811442.0
2021,China,156,Germany,276,Import,M,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",756811442.0,134054.0,572998422.0,32.0791494256506,703531591.0,113678770.82765688,41994486455.0,0.018021685842282555,0,1041052177.0
2022,China,156,Germany,276,Import,M,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",1041052177.0,142354.0,756811442.0,37.55766882287702,790287347.0,235815725.84133732,43600481647.0,0.02387707974027923,0,916785833.0
2023,China,156,Germany,276,Import,M,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",916785833.0,100923.0,1041052177.0,-11.936610550885002,904883150.6666666,142493698.96027413,35858192530.0,0.02556698395305314,0,909322202.0
2019,China,156,Germany,276,Export,X,854232,Electronic integrated circuits; memories,60175967.0,34126.0,67230208.0,-10.492665737401854,63703087.5,4988101.647224172,53940508099.0,0.0011155988165620486,0,42441517.0
2020,China,156,Germany,276,Export,X,854232,Electronic integrated circuits; memories,42441517.0,29241.0,60175967.0,-29.470984654056327,56615897.333333336,12772054.353040092,53809217225.0,0.0007887406505568248,1,63166784.0
