year,reporter,reporter_code,partner,partner_code,flow,flow_code,hs_code,commodity,trade_value_usd,net_weight_kg
2018,China,156,World,0,Import,M,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",127448457526.0,23032972.754
2018,China,156,World,0,Import,M,854232,Electronic integrated circuits; memories,123086689043.0,8709862.061
2018,China,156,World,0,Import,M,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,51776577514.0,25957966.286
2018,China,156,World,0,Export,X,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",29661575500.0,16849802.415
2018,China,156,World,0,Export,X,854232,Electronic integrated circuits; memories,44093888065.0,3997609.732
2018,China,156,World,0,Export,X,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,9361580169.0,12392165.861
2019,China,156,World,0,Import,M,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",143736462430.0,23013641.56
2019,China,156,World,0,Import,M,854232,Electronic integrated circuits; memories,94696845901.0,8433939.106
2019,China,156,World,0,Import,M,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,57400951358.0,25748826.721
2019,China,156,World,0,Export,X,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",35809527520.0,16469217.723
2019,China,156,World,0,Export,X,854232,Electronic integrated circuits; memories,52381550712.0,4211183.618
2019,China,156,World,0,Export,X,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,11255178265.0,12918972.546
2020,China,156,World,0,Import,M,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",171410279840.0,25052110.457
2020,China,156,World,0,Import,M,854232,Electronic integrated circuits; memories,95224179436.0,8949987.082
2020,China,156,World,0,Import,M,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,70980887572.0,26624518.249
2020,China,156,World,0,Export,X,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",40198944474.0,16393484.733
2020,China,156,World,0,Export,X,854232,Electronic integrated circuits; memories,55786294923.0,4414067.286
2020,China,156,World,0,Export,X,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,17722136497.0,14783094.783
2021,China,156,World,0,Import,M,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",202905349548.0,27584690.006
2021,China,156,World,0,Import,M,854232,Electronic integrated circuits; memories,121695576055.0,9887796.943
2021,China,156,World,0,Import,M,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,91398643861.0,30291574.014
2021,China,156,World,0,Export,X,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",50605985156.0,17422871.524
2021,China,156,World,0,Export,X,854232,Electronic integrated circuits; memories,75439385754.0,4853297.695
2021,China,156,World,0,Export,X,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,22715569830.0,16594465.847
2022,China,156,World,0,Import,M,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",205091243739.0,24676667.32
2022,China,156,World,0,Import,M,854232,Electronic integrated circuits; memories,101279362928.0,8674517.684
2022,China,156,World,0,Import,M,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,93876375266.0,24229034.719
2022,China,156,World,0,Export,X,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",52263191419.0,16379852.937
2022,China,156,World,0,Export,X,854232,Electronic integrated circuits; memories,70297732758.0,4587161.775
2022,China,156,World,0,Export,X,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,27351708945.0,15036449.143
2023,China,156,World,0,Import,M,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",176211552393.0,21844735.599
2023,China,156,World,0,Import,M,854232,Electronic integrated circuits; memories,78861504507.0,8419159.009
2023,China,156,World,0,Import,M,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,82064318445.0,20301805.024
2023,China,156,World,0,Export,X,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",49951603956.0,15513747.771
2023,China,156,World,0,Export,X,854232,Electronic integrated circuits; memories,55763952983.0,4592064.55
2023,China,156,World,0,Export,X,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,26758599072.0,13868430.935
2024,China,156,World,0,Import,M,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",192552730799.0,21158340.355
2024,China,156,World,0,Import,M,854232,Electronic integrated circuits; memories,93227484754.0,8206718.917
2024,China,156,World,0,Import,M,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,87329415403.0,20764655.913
